Gene
Gm43603
Bank1
Emcn
Adh1
Gbp5
Gbp7
Gbp2b
Gbp2
Lmo4
Cyr61
Ddah1
Ssx2ip
Uox
Ttll7
Adgrl2
Adgrl4
St6galnac3
Cth
Tox
Car8
Trp53inp1
Gem
Tmem64
Wwp1
Bach2os
Gm10600
Pigo
Rusc2
Cd72
Glipr2
Pax5
Trmt10b
Nr4a3
Aldob
Smc2
Abca1
Tmem38b
Klf4
Akap2
Mup7
Mup1
Mup11
Mup17
Mup20
Mup3
Ambp
Orm1
Tnfsf8
Lurap1l
Nfib
Ttc39b
Acer2
Tek
Jun
Nfia
Angptl3
Gm12689
Ak4
Lepr
Plpp3
Zfyve9
3110021N24Rik
Skint3
Tal1
Pdzk1ip1
Cyp4b1
Rad54l
Prdx1
Gm12840
Cdc20
Tie1
Zfp691
Cited4
Ppt1
Eva1b
Zmym6
Gja4
Marcksl1
Lck
Fam167b
Tinagl1
Sdc3
Ptafr
Smpdl3b
Sfn
Hmgn2
Stmn1
Clic4
Id3
Tcea3
C1qb
C1qc
C1qa
Hspg2
Camk2n1
Gm13075
Plekhm2
Tmem51os1
Dhrs3
Tnfrsf1b
Tnfrsf8
Plod1
Eno1
Errfi1
Smim1
1500002C15Rik
Mxra8
Tnfrsf4
Isg15
Abcb4
Cd36
Fgl2
Nos3
Crygn
Il6
Cenpa
Krtcap3
AI839979
Rbks
Fosl2
Yes1
Gm1673
Hs3st1
Cpeb2
Cd38
Ldb2
Arap2
Txk
Kit
Kdr
Noa1
Igfbp7
Stap1
Jchain
Gc
Alb
Pf4
Cxcl2
Naaa
Cxcl9
Cxcl10
Cxcl13
Anxa3
Rasgef1b
A930011G23Rik
Wdfy3
Spp1
Abcg3
Tgfbr3
Pxmp2
Ttc28
Cryba4
Crybb1
Adrbk2
Tmem119
Oasl2
Oasl1
Gm13830
Cit
Ksr2
Sds
Dtx1
Oas3
Hvcn1
Hpd
Hcar2
Auts2
Cldn3
Abhd11os
Ccl24
Hspb1
Ephb4
Pilra
Pilrb1
Pilrb2
Fam20c
C130050O18Rik
Fscn1
Cyth3
Flt1
5930430L01Rik
Fry
Gng11
Sgce
Ppp1r9a
1110019D14Rik
Tfec
Cav2
Cav1
Wnt2
Gm20186
Aass
Tmem229a
Hilpda
Mest
Podxl
Plxna4os1
Akr1b8
Cald1
Tmem140
Clec5a
Arhgef5
Pdia4
Rarres2
Gimap8
Gimap4
Gimap6
Gimap7
Gimap1
Gimap5
Gimap3
Tmem176b
Tmem176a
Gpnmb
Hoxaas3
Creb5
Inmt
Aqp1
Fkbp9
Fam13a
Tnip3
Gm42889
Gm43291
Fabp1
Cd8b1
Cd8a
St3gal5
Vamp5
Capg
Tcf7l1
Hk2
Loxl3
Dqx1
Lbx2
Clec4f
Cd207
Dysf
Cyp26b1
Anxa4
Gfpt1
H1fx
Gata2
Mgll
Aldh1l1
Fgd5
Frmd4b
Bhlhe40
Edem1
Gm26982
Pparg
Plxnd1
Tmcc1
8430408G22Rik
Usp18
Slc6a13
Gdf3
Dppa3
C3ar1
Clec4a1
Clec4a3
Clec4b1
Clec4a2
Clec4n
Clec4d
Clec4e
Cd163
Tpi1
Cdca3
Cd4
Lag3
Ncapd2
Scnn1a
Cd9
Vwf
Ccnd2
Klrb1b
Cd69
Clec1b
Olr1
Klre1
Klrd1
Klrk1
Klra17
Klra2
Bcl2l14
Dusp16
Lockd
Hebp1
Emp1
Plbd1
Hist4h4
Mgp
Mgst1
Ldhb
Bhlhe41
Tmtc1
Dennd5b
Tarm1
Lair1
Lilra5
Tnnt1
Ccdc106
Lig1
Sult2a8
C5ar1
Pglyrp1
Dmpk
Fosb
Mark4
Exoc3l2
Relb
Apoc2
Apoc4
Apoc1
Bcam
Plaur
Cd177
Gm9844
Cd79a
Atp1a3
Pou2f2
Ceacam1
Axl
Ltbp4
Blvrb
Pld3
Zfp60
Nccrp1
Kcnk6
2200002D01Rik
Ppp1r14a
Zfp74
Thap8
Zbtb32
Dmkn
Ffar2
Cd22
Hamp
Fxyd1
Hpn
Scn1b
4931406P16Rik
Siglecg
Nkg7
Siglece
Klk1b27
Klk1
Spib
Il4i1
Rasip1
Saa3
Csrp3
Nav2
Siglech
Tjp1
Nr2f2
Fam174b
Isg20
Mfge8
Abhd2
Sema4b
Prc1
Furin
Blm
Hdgfrp3
Fah
Ctsc
Gm26522
RP24-330M21.1
Fzd4
Thrsp
Myo7a
Lrrc32
Serpinh1
Tpbgl
Gm10605
Pgm2l1
Dnajb13
Fchsd2
Pde2a
Folr2
Il18bp
Hbb-bt
Hbb-bs
Gm15133
Hpx
Tpp1
Ric3
St5
Sbf2
Adm
Lyve1
Arntl
Nucb2
Xylt1
Eri2
Plk1
Il21r
Lat
Cd19
Atp2a1
Nupr1
Gdpd3
Qprt
Spn
Sept1
Sephs2
Itgal
RP23-4H17.3
Zfp629
Cox6a2
Tacc2
Mki67
Inpp5a
Urah
Ifitm2
Ifitm1
Ifitm6
Irf7
Sct
Cracr2b
Ctsd
Lsp1
Tspan32
Cd81
Cdkn1c
Tnfrsf26
RP23-6I17.1
Mrgpre
Ccnd1
Plekhg1
Akap12
Syne1
Myct1
Sash1
Stxbp5
Adgrg6
Cited2
Ifngr1
Pde7b
Sgk1
Ctgf
Arg1
Epb41l2
Rspo3
Fam26f
Dse
Marcks
Lama4
Fyn
Ccdc162
Cd24a
Prdm1
Lilr4b
Lilrb4a
Dcbld1
Man1a
Gja1
Fabp7
Smpdl3a
Sowahc
Oit3
Ddit4
Chst3
Pcbd1
Pald1
Col13a1
Gm5424
Tspan15
Tmem26
Slc16a9
Bicc1
Upb1
Ddt
Gstt1
Mif
Derl3
Chchd10
Vpreb3
Dip2a
Adarb1
Lrrc3
Cstb
Prss57
Prtn3
Elane
Gadd45b
Txnrd1
Nuak1
Ckap4
Btbd11
Timp3
Hsp90b1
Stab2
Pah
Igf1
Spic
Ntn4
Tmcc3
Plxnc1
Socs2
Dcn
Poc1b
Dusp6
Kitl
Csrp2
Phlda1
Ptprb
Lyz1
Mdm1
Msrb3
Slc26a10
Lrp1
Tmem194
Gpr182
Cd63
Mcemp1
Fcer2a
Clec4g
Cd209a
Cd209e
Cd209d
Cd209b
Cd209f
Cd209g
Efnb2
Col4a1
Col4a2
Rab20
F10
Gas6
Tdrp
Ckap2
1810011O10Rik
Gsr
Rbpms
Gm26632
Ppp1r3b
Dlc1
Msr1
Slc7a2
Mtus1
Tlr3
Sorbs2
Snx25
Stox2
Hpgd
Hmgb2
Sh3rf1
Psd3
Lpl
Gdf15
Ushbp1
Plvap
Bst2
Fam129c
Cyp4f18
Klf2
Hmox1
Gab1
Gm26532
Zswim4
Ier2
Junb
Tnpo2
Gpt2
Lpcat2
Ces1d
Mt2
Mt1
Ccl22
Ccl17
Adgrg1
Adgrg3
Cdh5
Ces2g
Exoc3l
Fhod1
Tppp3
Gfod2
Dpep2
Pla2g15
Hp
Tat
Mtss1l
Bcar1
Nudt7
Maf
Cdh13
Osgin1
A130014A01Rik
6430548M08Rik
Irf8
Irf2bp2
Nrp1
Dnase1l3
Rarb
Nid2
Dnah12
Arhgef3
Stab1
Sh3bp5
Wdfy4
Mmrn2
Mat1a
Ear2
Fermt2
Samd4
Lgals3
Pnp2
Rnase6
Ndrg2
Rpgrip1
Cebpe
Slc7a8
Ltb4r1
Adcy4
Ctsg
Gzmb
Phf11b
Spata13
Fam124a
Gata4
Fam167a
Esco2
Clu
Ephx2
Adamdec1
Gm16867
Loxl2
Sorbs3
Dok2
Gfra2
Tsc22d1
Rgcc
Pcdh17
Tbc1d4
Irg1
Ednrb
Rnf219
Spry2
Gm26870
Mmp13
Mmp12
Mmp8
Mmp27
Tmem123
Birc2
Yap1
Amotl1
Smco4
Icam1
S1pr5
Dock6
Acp5
Aplp2
Ets1
Robo4
Robo3
Esam
Nrgn
Arhgef12
Thy1
Mcam
Cxcr5
Ttc36
Cd3g
Cd3d
Cd3e
BC049352
Fxyd2
Apoa1
Apoc3
Cadm1
Nxpe4
Plet1os
Pou2af1
Dnaja4
Tspan3
Cyp1a1
Uaca
Paqr5
Smad6
2810417H13Rik
Dapk2
Rora
Anxa2
Ccnb2
Aldh1a2
Fam214a
Gclc
Gsta4
Filip1
Myo6
Sh3bgrl2
Fam46a
Bcl2a1d
Bcl2a1a
Bcl2a1b
Tbc1d2b
Plscr4
Chst2
Paqr9
Pcolce2
Atp1b3
Rbp1
Amotl2
Ryk
Slco2a1
Trf
Rad54l2
Cish
Gm9917
Hyal2
Sema3f
Dag1
Lamb2
Camp
Ngp
Ltf
Ccrl2
Bcl2a1c
Cmtm8
Tgfbr2
Rbms3
Itga9
Ctdspl
Acaa1b
Cx3cr1
Snrk
Kif15
Tmem158
Ccr9
Cxcr6
Xcr1
Ccr1
Ccr3
Ccr2
Pik3ip1
Tcn2
Osm
Xbp1
Pgam2
Myo1g
Upp1
Plek
Ehbp1
Bcl11a
Sptbn1
Hba-a1
Stk10
Hmmr
Il12b
Ebf1
Itk
Timd4
Ifi47
Btnl9
Flt4
Ltc4s
Tcf7
Kif3a
Gpx3
Sparc
Igtp
1810065E05Rik
Gm12253
Zfp39
Rnf187
Gm16062
Shmt1
Tnfrsf13b
Epn2
Adora2b
Pmp22
Arhgef15
Tmem88
Kdm6b
Tnfsf13os
Tnfsfm13
Mgl2
Clec10a
Bcl6b
Cxcl16
Zmynd15
Eno3
Fam64a
P2rx5
Aspa
Rap1gap2
Scarf1
Slc43a2
Cpd
Vtn
Atad5
Adap2
Adap2os
Ccl2
Ccl7
Ccl12
Ccl8
Tmem132e
Unc45b
Slfn1
Slfn4
Ccl5
Ccl9
Ccl6
Ccl3
Ccl4
Wfdc18
Wfdc21
Tbx2
Cltc
Ska2
Gm11491
Mpo
Trim25
Hlf
Abcc3
Ngfr
Gngt2
Skap1
Srcin1
Arl5c
Thra
Nr1d1
Cdc6
Top2a
Igfbp4
Ccr7
Hap1
Dnajc7
Ptrf
Atp6v0a1
Ramp2
Dusp3
Cd300lg
Grn
Ace
Cd79b
Icam2
Gm11707
Pitpnc1
Gm11713
Prkca
Apoh
Sstr2
Cd300lb
Cd300c
Cd300ld
Cd300lh
Cd300e
Smim5
Smim6
Trim47
Fbf1
Mxra7
Tk1
Birc5
Socs3
Timp2
C1qtnf1
Engase
Rbfox3
Rnf213
Aatk
Gm17586
Rac3
Cbr2
Slc16a3
Cd7
Sectm1a
Metrnl
Gm12589
Akr1c6
Klf6
Nid1
Inhba
Aoah
Hist1h1b
Hist1h2ap
Hist1h2bj
Hist1h2ae
Hist1h1e
Hist1h2bc
Gmnn
BC005537
Dcdc2a
Sox4
Irf4
Serpinb1a
Serpinb6b
Serpinb9
Serpinb6a
Tubb2b
Slc22a23
Pxdc1
Nrn1
F13a1
Txndc5
Gcnt2
Nedd9
Edn1
Cd83
Mylip
Atxn1
Id4
Ninj1
Cks2
Gadd45g
Nfil3
Hk3
Dok3
Cxcl14
Tgfbi
Gkap1
Dapk1
Ctla2b
Ctla2a
Fbp1
Ctsl
Slc12a7
Gm10116
2210408I21Rik
Arrdc3
Dhfr
Mtx3
Jmy
Bhmt
Lhfpl2
F2r
Gm9828
Naip1
Ccnb1
Zswim6
Plk2
Il6st
Plpp1
Gzma
Esm1
Itga1
Emb
Hmgcs1
D13Ertd608e
Rhob
Sdc1
Trib2
Rrm2
Id2
Rsad2
Cmpk2
Pxdn
Cog5
Gdap10
Tspan13
Arl4a
Stxbp6
Nfkbia
Clec14a
Mis18bp1
Rhoj
Actn1
Susd6
Fos
Ift43
Gm26698
Ston2
Galc
1700064M15Rik
Ttc7b
Fbln5
Lgmn
Asb2
Ifi27
Ifi27l2a
Serpina1b
Serpina1d
Serpina1a
Serpina1c
Serpina1e
Serpina12
Serpina3f
Serpina3g
Serpina3k
Slc25a47
Exoc3l4
Tnfaip2
Ckb
Crip2
Ncapg2
Sepp1
C6
Card6
Dab2
Lifr
Il7r
Amacr
Basp1
Myo10
Cmbl
Cpq
Hrsp12
Stk3
Lrp12
Angpt1
Col14a1
Ndrg1
Khdrbs3
Ly6d
Ly6k
Ly6i
Ly6a
Ly6c2
Gpihbp1
Rbfox2
Apol7c
Apol10b
Il2rb
C1qtnf6
Cdc42ep1
Lgals1
H1f0
Pdgfb
Shisa8
Tnfrsf13c
Bik
Creld2
Mapk12
Plxnb2
C730034F03Rik
Cpne8
Prickle1
Ano6
Amigo2
Pced1b
Rapgef3
Cacnb3
Fkbp11
Tuba1b
Tuba1a
Spats2
Gpd1
Pou6f1
Smagp
Cela1
Nr4a1
Krt8
Krt18
Tns2
Igfbp6
Gpr84
Gm15859
AU021092
Rpl39l
Socs1
Tnfrsf17
Cldn5
Cyp2ab1
2510009E07Rik
Etv5
Ahsg
Rtp4
Bcl6
Hes1
Apod
Lmln
Heg1
Itgb5
Ccdc14
Eaf2
Iqcb1
Hgd
Arhgap31
Cd200r3
Ccdc80
Cd200
Phldb2
Retnla
Retnlg
Nfkbiz
Pros1
Samsn1
Nrip1
Mir155hg
Jam2
Cyyr1
Adamts1
Sod1
Itsn1
Rcan1
Ripply3
Erg
Ets2
Sh3bgr
Bace2
C2cd2
Tiam2
Tagap
Ccr6
Agpat4
Igf2r
Acat3
Sod2
Fpr1
Fpr2
Pkmyt1
9530082P21Rik
Abca3
Slc9a3r2
Rpl3l
Msrb1
Tmem204
Wdr90
Dusp1
Pacsin1
Cdkn1a
Rab44
Pi16
Pim1
H2-DMb2
H2-Eb2
C4b
Cfb
C2
Hspa1b
Hspa1a
Ddah2
Ly6g5b
Aif1
Lst1
Ltb
H2-Q7
Ier3
Tubb5
Ubd
H2-M2
Gm42418
Adgrf5
Pla2g7
Runx2
Slc29a1
Zfp318
Gnmt
Trem3
Treml4
Trem2
Unc5cl
Satb1
Adgre4
Stap2
Lrg1
Tnfsf9
C3
Adgre1
Rab31
Ptprm
Epb41l3
Emilin2
Ehd3
Rasgrp3
Crim1
Qpct
Sos1
Epas1
Gm29554
Bambi
9430020K01Rik
Colec12
Ttr
B4galt6
Sap130
Proc
Kif20a
Egr1
Mzb1
Ecscr
Cystm1
Cd14
Pcdh12
Spry4
Cdo1
Sema6a
Snx24
Ppic
Aldh7a1
1700011I03Rik
Slc12a2
Gm4951
F830016B08Rik
Iigp1
Csf1r
Arhgef37
Bvht
Adrb2
Pmaip1
Tcf4
Ska1
Pstpip2
Setbp1
Mbp
Gstp1
Gstp2
BC021614
Ptprcap
Rhod
Ctsw
Cdc42ep2
Ehd1
Gm14964
Prdx5
Rab3il1
Dagla
Tkfc
Cd5
Slc15a3
AW112010
Ms4a8a
Ms4a1
Ms4a7
Ms4a4c
Ms4a4b
Ms4a6c
Gm8369
Ms4a6b
Ms4a6d
Ms4a3
Anxa1
Aldh1a1
Gda
Tmem2
Klf9
Cd274
Pdcd1lg2
Fas
Ifit2
Ifit3
Ifit1bl1
Ifit3b
Ifit1
Cpeb3
Myof
Rbp4
Dntt
Arhgap19
Scd2
Scd1
Elovl3
Neurl1a
4833407H14Rik
Dusp5
Tcf7l2
Adrb1
Ablim1
Grk5
mt-Nd2
mt-Nd3
mt-Nd4l
mt-Nd5
mt-Nd6
