gene_id,highly_variable
CAP1,True
PPT1,False
RLF,False
AL050341.2,False
ZMPSTE24,False
COL9A2,False
SMAP2,False
ZFP69B,False
ZFP69,False
AL603839.3,False
EXO5,False
ZNF684,False
RIMS3,False
NFYC-AS1,False
NFYC,False
CITED4,False
CTPS1,False
SLFNL1-AS1,False
SCMH1,False
AC093151.2,False
EDN2,False
HIVEP3,False
GUCA2B,False
GUCA2A,False
FOXJ3,False
RIMKLA,False
ZMYND12,False
PPCS,False
CCDC30,False
PPIH,True
AC098484.2,False
YBX1,False
CLDN19,False
P3H1,False
C1orf50,False
TMEM269,False
SVBP,False
ERMAP,True
AL512353.1,False
ZNF691,True
SLC2A1,False
SLC2A1-AS1,False
EBNA1BP2,False
CFAP57,False
TMEM125,False
C1orf210,False
TIE1,True
AL139289.2,False
CDC20,False
ELOVL1,False
MED8,False
SZT2,False
HYI,True
PTPRF,False
KDM4A,False
KDM4A-AS1,False
ST3GAL3,False
ARTN,False
IPO13,True
DPH2,False
ATP6V0B,False
B4GALT2,False
CCDC24,False
SLC6A9,False
AL139220.2,False
DMAP1,False
ERI3,False
RNF220,False
TMEM53,False
ARMH1,False
KIF2C,False
RPS8,False
BEST4,False
PLK3,False
TCTEX1D4,False
BTBD19,False
PTCH2,False
EIF2B3,False
HECTD3,False
UROD,True
ZSWIM5,False
LINC01144,False
HPDL,False
MUTYH,False
TOE1,True
TESK2,False
CCDC163,False
MMACHC,False
PRDX1,False
AKR1A1,False
NASP,False
CCDC17,False
GPBP1L1,True
TMEM69,True
IPP,False
MAST2,False
PIK3R3,False
AL358075.2,False
TSPAN1,False
POMGNT1,True
LURAP1,False
RAD54L,False
LRRC41,False
UQCRH,False
NSUN4,False
FAAH,False
MKNK1,False
MOB3C,False
ATPAF1,True
TEX38,False
EFCAB14,False
CYP4B1,False
CYP4A11,True
CYP4X1,False
CYP4Z1,False
CYP4A22-AS1,False
CYP4A22,True
LINC00853,False
PDZK1IP1,True
TAL1,False
AL135960.1,False
STIL,False
CMPK1,False
LINC01389,False
FOXD2-AS1,False
FOXD2,False
TRABD2B,False
SLC5A9,False
AL109659.2,False
SPATA6,False
AGBL4,False
BEND5,False
ELAVL4,False
AL592182.2,False
FAF1,True
CDKN2C,True
LINC01562,False
RNF11,True
TTC39A,False
TTC39A-AS1,False
EPS15,False
AC104170.1,False
OSBPL9,False
NRDC,False
AL050343.1,False
AL050343.2,False
RAB3B,False
TXNDC12,False
KTI12,False
BTF3L4,True
ZFYVE9,False
CC2D1B,False
AL513218.1,False
ORC1,False
PRPF38A,False
TUT4,False
GPX7,False
SHISAL2A,False
COA7,False
ZYG11B,False
ZYG11A,False
ECHDC2,True
SCP2,False
PODN,False
SLC1A7,False
CPT2,True
AL606760.2,False
C1orf123,False
AL606760.3,False
MAGOH,True
AL606760.1,False
LRP8,False
AC119428.2,False
GLIS1,False
NDC1,False
YIPF1,False
DIO1,False
HSPB11,False
LRRC42,False
TMEM59,False
TCEANC2,False
AL357673.1,False
CYB5RL,False
MRPL37,True
SSBP3,False
ACOT11,False
FAM151A,False
MROH7,False
TTC4,False
PARS2,False
TTC22,True
DHCR24,False
AC096536.1,False
PCSK9,False
USP24,False
MIR4422HG,False
AL603840.1,False
AC119674.1,False
AC119674.2,False
LINC01767,False
PLPP3,False
PRKAA2,False
FYB2,False
C8A,False
C8B,False
AL161740.1,False
DAB1,False
OMA1,False
TACSTD2,False
MYSM1,False
JUN,True
AC105277.1,False
LINC01358,False
FGGY,False
HOOK1,False
CYP2J2,False
NFIA,False
TM2D1,False
AC099791.2,False
PATJ,False
L1TD1,False
KANK4,False
USP1,False
