PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34
-1.2207896,2.5838146,-1.217954,2.6283026,-1.7808334,2.8971694,0.661849,-0.4567641,3.7300348,-7.520595,10.504189,-4.3208423,2.6955135,36.109203,7.138209,6.47122,-2.8403463,-1.1175112,-0.40713462,-4.7897253,5.227455,0.5899005,-1.1331027,-0.22587693,-0.0062783333,-0.15842015,0.1606916,0.057985637,0.06668076,-0.104428105,0.011517497,-0.08083999,-7.170599e-15,1.9317626e-15
80.37921,14.218791,1.4880575,5.920548,-11.994951,-4.482547,1.434289,-3.9706075,-3.1366975,0.15704426,-1.3144001,0.099967755,-0.18203054,0.17824368,-0.153963,-0.96562093,0.99445,-0.82332337,0.090901375,0.45889592,-0.4045793,-0.21861696,-0.038897775,-0.18634214,0.08667973,0.052464932,-0.020079425,0.045320623,-0.06430151,-0.020759542,-0.009128225,0.04963941,2.9319863e-15,3.6622376e-15
-4.5626206,0.8853013,0.272823,3.5565925,-2.598902,0.011717594,0.23364048,-0.70057213,7.067853,-2.277543,7.38986,-5.243478,-1.418083,0.25165847,-7.356022,-2.0888495,5.7381625,-1.147626,-3.0424194,21.64219,15.208475,-5.6793513,13.079173,1.3651196,-0.63160694,-0.53618616,0.4376372,-0.009815166,0.33059487,0.0028841647,0.12167186,-0.16138686,6.295309e-15,2.9615654e-15
-2.403313,-15.273745,-52.100376,43.52828,3.710303,16.030703,-2.0356169,-0.13651527,3.3713844,-5.10987,-6.857222,3.893974,0.80218726,-1.1312191,0.9450656,-1.1244516,-0.041075002,-1.2949576,-0.48690474,0.38170585,-0.9111611,-0.7325687,-0.8484693,0.26159662,-0.3494036,0.27302173,-0.036870025,-0.124328926,-0.08876544,-0.0015020908,-0.022184277,-0.024902927,-5.8453854e-15,4.6353933e-15
-0.668992,1.9077396,-1.2705907,1.7704153,-0.23748294,1.0050892,2.6936636,-3.980479,5.9926195,-4.887661,21.861044,-20.120815,26.771818,-12.512176,0.56115335,0.6475571,-4.4675374,-5.35091,-3.6167748,-5.015222,-0.22182785,-0.38709697,-1.6930051,-0.6604074,-0.50960433,0.08174207,-0.20178461,0.004635471,-0.15648896,0.023140004,0.027402962,-0.011499496,-8.7547055e-15,2.2378716e-15
-1.2220026,-0.51380575,-1.5872974,-0.83634907,-0.74895674,1.0719473,0.7124842,-3.9999318,-6.5931835,-4.9143314,-6.8680305,1.3539609,0.60756147,-0.3369966,0.14519028,-3.4343603,3.310507,-4.791053,-0.9657514,-2.525794,-1.3442088,-2.2437646,3.2693713,1.7311184,-0.6014689,4.9159265,-6.860563,-1.1505247,-0.5802222,-7.980137,1.5211211,-2.3419273,-1.2615049e-14,-3.0416876e-16
-2.7032926,-1.4371709,-1.4232086,-0.338315,-1.9961156,-3.1493876,-0.74787337,-0.92303306,-0.12427821,1.790472,9.866861,-4.6361303,-8.660569,3.8625379,-15.465194,-1.9435023,-3.895866,16.3208,-18.157766,-3.9568393,-12.40522,-7.146245,2.034946,1.4871206,-0.515649,1.2303305,-0.48346093,-0.20941857,-0.017836295,0.068486415,0.02533852,0.056165695,-1.6885285e-15,3.2118608e-15
0.33698824,0.57638305,-2.0456336,-1.0125657,-0.15694526,1.5351351,0.99384564,-4.2837896,-6.102374,-5.8933406,-7.499062,2.0718255,0.34686404,-0.6619395,0.85783035,-2.7501457,2.6197042,-5.045187,-1.4143455,-4.094244,-1.9656068,-2.5833702,5.979591,3.4477963,-1.5392214,2.2327654,-1.8542544,-0.9577325,-0.29569224,8.186423,-1.2510166,-4.146862,-1.9841674e-14,-1.0054249e-15
-3.579726,1.326728,-0.56252986,2.7966595,1.0281217,2.1961138,-1.0884606,1.2583983,6.805237,-1.5846723,-3.332233,4.117547,2.068843,-1.6196383,2.6964529,1.5315297,-0.9751005,-2.3979151,-2.143816,0.96316,-2.3686628,-5.224794,-6.8665814,7.6281047,16.619833,-2.0420406,1.0716938,-0.27464873,0.5851903,0.13674429,0.040245704,0.0234096,2.2919319e-14,2.115544e-15
-2.3821259,-4.4004393,3.0502832,-2.7112632,-3.034397,-18.426592,45.106693,37.67168,4.44291,-11.784233,-6.509858,3.3930888,2.3670857,-0.72510505,-0.21684375,-0.41239348,0.0959598,0.35570836,-0.59988326,-0.35340378,0.2058616,-0.46275005,-0.40265697,0.25385827,-0.06926673,0.25085777,-0.10239929,-0.07492112,0.009170007,-0.00020400585,-0.0072079087,0.0053731506,-6.123784e-15,3.5213146e-15
-18.063643,76.19513,-0.99641854,4.9080453,6.640904,0.41230997,-1.5309619,-1.879177,-0.42522177,-1.876169,-5.0371814,3.063817,0.028354548,-1.2138902,0.6143437,-0.60380405,0.6844652,-0.7062607,-0.4166559,-0.46739978,-0.6353098,-0.19184099,-0.2056564,-0.20771559,-0.13433339,0.28904155,-0.10187439,-0.028209854,-0.031353176,-0.020451624,0.0216695,0.059885588,-4.3827573e-15,4.1945842e-15
-4.0963516,1.4199247,0.1074753,3.8466377,-0.02590801,2.625951,-0.7816561,2.2245765,7.3174295,-1.7228792,-3.330791,5.682335,1.0699937,-1.27602,2.5558143,-0.31098408,-0.78655,-1.6900682,-2.2715738,1.132569,-2.510393,-3.498267,-8.593908,-3.3253748,-15.103811,-2.9863405,0.8426314,-0.123777956,0.9197296,0.1322626,0.48525128,-0.042989157,2.962862e-14,2.0894285e-15
-4.356946,-3.9935644,-0.9780625,-3.021316,-0.5890554,-4.061075,-1.4688424,-1.6075314,-9.139686,3.4797006,-3.9547157,-1.8210282,0.9592623,0.968584,-2.7563968,-3.1354284,2.334649,-1.2523911,0.14531966,-2.799521,1.209412,0.19810343,0.3867899,-1.9118987,0.9015143,-5.7262816,-3.3589466,11.250297,-1.219917,-0.25145757,-2.559768,-0.4488751,1.3576255e-16,3.1139773e-15
